Index,x_m,y_m,
277,-6.59E-06,4.12E-06,
278,-6.74E-06,3.87E-06,
279,-6.90E-06,3.62E-06,
280,-7.05E-06,3.37E-06,
281,-7.21E-06,3.13E-06,
282,-7.36E-06,2.88E-06,
283,-7.52E-06,2.63E-06,
284,-7.67E-06,2.38E-06,
285,-7.83E-06,2.14E-06,
286,-7.99E-06,1.89E-06,
287,-8.14E-06,1.64E-06,
288,-8.30E-06,1.40E-06,
289,-8.37E-06,1.12E-06,
290,-8.35E-06,8.18E-07,
291,-8.32E-06,5.11E-07,
292,-8.29E-06,2.04E-07,
293,-8.26E-06,-1.03E-07,
294,-8.23E-06,-4.10E-07,
295,-8.21E-06,-7.17E-07,
296,-8.18E-06,-1.02E-06,
297,-8.15E-06,-1.33E-06,
298,-8.12E-06,-1.64E-06,
299,-8.09E-06,-1.94E-06,
300,-8.06E-06,-2.25E-06,
301,-8.03E-06,-2.56E-06,
302,-8.00E-06,-2.87E-06,
303,-7.98E-06,-3.17E-06,
304,-7.95E-06,-3.48E-06,
305,-7.92E-06,-3.79E-06,
306,-7.87E-06,-4.09E-06,
307,-7.72E-06,-4.35E-06,
308,-7.51E-06,-4.60E-06,
309,-7.29E-06,-4.84E-06,
310,-7.08E-06,-5.09E-06,
311,-6.87E-06,-5.33E-06,
312,-6.66E-06,-5.57E-06,
313,-6.44E-06,-5.82E-06,
314,-6.23E-06,-6.06E-06,
315,-6.02E-06,-6.31E-06,
316,-5.81E-06,-6.55E-06,
317,-5.60E-06,-6.80E-06,
318,-5.38E-06,-7.04E-06,
319,-5.17E-06,-7.28E-06,
320,-4.96E-06,-7.53E-06,
321,-4.75E-06,-7.77E-06,
322,-4.53E-06,-8.02E-06,
323,-4.29E-06,-8.22E-06,
324,-4.00E-06,-8.35E-06,
325,-3.67E-06,-8.44E-06,
326,-3.34E-06,-8.53E-06,
327,-3.02E-06,-8.62E-06,
328,-2.69E-06,-8.70E-06,
329,-2.36E-06,-8.79E-06,
330,-2.04E-06,-8.88E-06,
331,-1.71E-06,-8.97E-06,
332,-1.38E-06,-9.05E-06,
333,-1.06E-06,-9.14E-06,
334,-7.29E-07,-9.23E-06,
335,-4.02E-07,-9.31E-06,
336,-7.52E-08,-9.40E-06,
337,2.52E-07,-9.49E-06,
338,5.79E-07,-9.58E-06,
339,9.07E-07,-9.63E-06,
340,1.24E-06,-9.58E-06,
341,1.58E-06,-9.48E-06,
342,1.91E-06,-9.37E-06,
343,2.25E-06,-9.26E-06,
344,2.58E-06,-9.15E-06,
345,2.92E-06,-9.05E-06,
346,3.25E-06,-8.94E-06,
347,3.59E-06,-8.83E-06,
348,3.93E-06,-8.73E-06,
349,4.26E-06,-8.62E-06,
350,4.60E-06,-8.51E-06,
351,4.93E-06,-8.40E-06,
352,5.27E-06,-8.30E-06,
353,5.61E-06,-8.19E-06,
354,5.94E-06,-8.08E-06,
355,6.23E-06,-7.90E-06,
356,6.48E-06,-7.63E-06,
357,6.72E-06,-7.36E-06,
358,6.96E-06,-7.08E-06,
359,7.20E-06,-6.80E-06,
360,7.44E-06,-6.53E-06,
361,7.68E-06,-6.25E-06,
362,7.92E-06,-5.97E-06,
363,8.16E-06,-5.70E-06,
364,8.40E-06,-5.42E-06,
365,8.64E-06,-5.14E-06,
366,8.87E-06,-4.87E-06,
367,9.11E-06,-4.59E-06,
368,9.35E-06,-4.31E-06,
369,9.59E-06,-4.04E-06,
370,9.75E-06,-3.71E-06,
371,9.82E-06,-3.34E-06,
372,9.89E-06,-2.97E-06,
373,9.96E-06,-2.59E-06,
374,1.00E-05,-2.22E-06,
375,1.01E-05,-1.85E-06,
376,1.02E-05,-1.48E-06,
377,1.02E-05,-1.10E-06,
378,1.03E-05,-7.32E-07,
379,1.04E-05,-3.59E-07,
380,1.04E-05,1.33E-08,
381,1.05E-05,3.86E-07,
382,1.06E-05,7.58E-07,
383,1.07E-05,1.13E-06,
384,1.07E-05,1.50E-06,
385,1.06E-05,1.87E-06,
386,1.05E-05,2.25E-06,
387,1.03E-05,2.62E-06,
388,1.02E-05,2.99E-06,
389,1.01E-05,3.36E-06,
390,9.96E-06,3.73E-06,
391,9.83E-06,4.10E-06,
392,9.71E-06,4.47E-06,
393,9.58E-06,4.84E-06,
394,9.45E-06,5.21E-06,
395,9.33E-06,5.58E-06,
396,9.20E-06,5.95E-06,
397,9.08E-06,6.33E-06,
398,8.90E-06,6.67E-06,
399,8.63E-06,6.96E-06,
400,8.34E-06,7.23E-06,
401,8.04E-06,7.51E-06,
402,7.75E-06,7.78E-06,
403,7.45E-06,8.06E-06,
404,7.15E-06,8.33E-06,
405,6.86E-06,8.61E-06,
406,6.56E-06,8.88E-06,
407,6.27E-06,9.16E-06,
408,5.97E-06,9.43E-06,
409,5.67E-06,9.71E-06,
410,5.38E-06,9.98E-06,
411,5.08E-06,1.03E-05,
412,4.72E-06,1.04E-05,
413,4.32E-06,1.05E-05,
414,3.92E-06,1.07E-05,
415,3.52E-06,1.08E-05,
416,3.12E-06,1.09E-05,
417,2.72E-06,1.10E-05,
418,2.32E-06,1.11E-05,
419,1.92E-06,1.12E-05,
420,1.52E-06,1.13E-05,
421,1.12E-06,1.14E-05,
422,7.14E-07,1.15E-05,
423,3.13E-07,1.16E-05,
424,-8.78E-08,1.18E-05,
425,-4.97E-07,1.18E-05,
426,-9.15E-07,1.17E-05,
427,-1.33E-06,1.16E-05,
428,-1.75E-06,1.15E-05,
429,-2.17E-06,1.14E-05,
430,-2.59E-06,1.14E-05,
431,-3.01E-06,1.13E-05,
432,-3.43E-06,1.12E-05,
433,-3.85E-06,1.11E-05,
434,-4.26E-06,1.10E-05,
435,-4.68E-06,1.09E-05,
436,-5.10E-06,1.08E-05,
437,-5.52E-06,1.07E-05,
438,-5.90E-06,1.06E-05,
439,-6.24E-06,1.03E-05,
440,-6.59E-06,1.00E-05,
441,-6.94E-06,9.75E-06,
442,-7.28E-06,9.48E-06,
443,-7.63E-06,9.22E-06,
444,-7.98E-06,8.95E-06,
445,-8.33E-06,8.68E-06,
446,-8.67E-06,8.41E-06,
447,-9.02E-06,8.15E-06,
448,-9.37E-06,7.88E-06,
449,-9.71E-06,7.61E-06,
450,-1.00E-05,7.30E-06,
451,-1.02E-05,6.92E-06,
452,-1.05E-05,6.52E-06,
453,-1.07E-05,6.12E-06,
454,-1.09E-05,5.72E-06,
455,-1.11E-05,5.32E-06,
456,-1.13E-05,4.92E-06,
457,-1.15E-05,4.52E-06,
458,-1.17E-05,4.12E-06,
459,-1.19E-05,3.72E-06,
460,-1.21E-05,3.31E-06,
461,-1.23E-05,2.91E-06,
462,-1.24E-05,2.50E-06,
463,-1.25E-05,2.06E-06,
464,-1.25E-05,1.60E-06,
465,-1.25E-05,1.14E-06,
466,-1.26E-05,6.77E-07,
467,-1.26E-05,2.17E-07,
468,-1.26E-05,-2.43E-07,
469,-1.26E-05,-7.03E-07,
470,-1.26E-05,-1.16E-06,
471,-1.26E-05,-1.62E-06,
472,-1.27E-05,-2.08E-06,
473,-1.27E-05,-2.54E-06,
474,-1.26E-05,-3.00E-06,
475,-1.25E-05,-3.44E-06,
476,-1.23E-05,-3.87E-06,
477,-1.21E-05,-4.31E-06,
478,-1.20E-05,-4.74E-06,
479,-1.18E-05,-5.18E-06,
480,-1.16E-05,-5.61E-06,
481,-1.14E-05,-6.05E-06,
482,-1.12E-05,-6.48E-06,
483,-1.11E-05,-6.92E-06,
484,-1.09E-05,-7.36E-06,
485,-1.07E-05,-7.79E-06,
486,-1.05E-05,-8.18E-06,
487,-1.01E-05,-8.52E-06,
488,-9.78E-06,-8.85E-06,
489,-9.43E-06,-9.19E-06,
490,-9.08E-06,-9.52E-06,
491,-8.74E-06,-9.85E-06,
