Index,x_m,y_m,t_sec
219,-2.36276715593e-05,-2.48269507681e-05,0.00231184
220,-2.0489098658e-05,-2.74703290039e-05,0.00231744
221,-1.71531315676e-05,-2.97576642308e-05,0.002323
222,-1.35356704931e-05,-3.16881323685e-05,0.00232856
223,-9.67475062725e-06,-3.31121596497e-05,0.00233412
224,-5.74466877402e-06,-3.41564755546e-05,0.00233968
225,-1.68278913749e-06,-3.46066985546e-05,0.0023452
226,2.40224624935e-06,-3.46773180725e-05,0.00235072
227,6.48728163619e-06,-3.42125328302e-05,0.00235624
228,1.05019519913e-05,-3.326873288e-05,0.00236176
229,1.43265044936e-05,-3.1901610106e-05,0.00236722
230,1.79883787318e-05,-3.00540700272e-05,0.00237268
231,2.1441977358e-05,-2.78266411146e-05,0.00237814
232,2.4575136943e-05,-2.52104671217e-05,0.0023836
233,2.73597078445e-05,-2.22541233597e-05,0.00238902
234,2.98357735947e-05,-1.90118374148e-05,0.00239444
235,3.18813866982e-05,-1.54627718261e-05,0.00239986
236,3.35217297705e-05,-1.16804677562e-05,0.00240528
237,3.47170667556e-05,-7.7663690652e-06,0.00241066
238,3.54365574427e-05,-3.73583523851e-06,0.00241604
239,3.57369593352e-05,3.34070387639e-07,0.00242142
240,3.55468372895e-05,4.43448707405e-06,0.0024268
241,3.48723233212e-05,8.47341267282e-06,0.00243212
242,3.37885962117e-05,1.23993354153e-05,0.00243744
243,3.22316062838e-05,1.61715226992e-05,0.00244276
244,3.02399545118e-05,1.97565690619e-05,0.00244808
245,2.78936179806e-05,2.31009322823e-05,0.00245336
246,2.51386494949e-05,2.61242369769e-05,0.00245864
247,2.20936492567e-05,2.88432440805e-05,0.00246392
248,1.87692853089e-05,3.12435079496e-05,0.0024692
249,1.51809707067e-05,3.31906998666e-05,0.00247444
250,1.14047557702e-05,3.47610060219e-05,0.00247968
251,7.47040405406e-06,3.59225326506e-05,0.00248492
252,3.41800188276e-06,3.65783659614e-05,0.00249016
253,-6.46043074758e-07,3.680690063e-05,0.00249536
254,-4.74769208476e-06,3.66550292929e-05,0.00250056
255,-8.80732385736e-06,3.59090259305e-05,0.00250576
256,-1.2738720774e-05,3.47933223972e-05,0.00251096
257,-1.65795890006e-05,3.32751906893e-05,0.00251612
258,-2.01368402104e-05,3.12858568301e-05,0.00252128
259,-2.35059340306e-05,2.89345022366e-05,0.00252644
260,-2.66240482848e-05,2.6284085727e-05,0.0025316
261,-2.93382917067e-05,2.31993866538e-05,0.00253672
262,-3.17548157662e-05,1.9869056783e-05,0.00254184
263,-3.3823407227e-05,1.63325393392e-05,0.00254696
264,-3.54829801422e-05,1.25755023348e-05,0.00255208
265,-3.66922823405e-05,8.67661065177e-06,0.00255716
266,-3.74957067184e-05,4.67112723632e-06,0.00256224
267,-3.78811572081e-05,5.92696698088e-07,0.00256732
268,-3.77548109336e-05,-3.50089029262e-06,0.0025724
269,-3.71980968043e-05,-7.5622443149e-06,0.00257744
270,-3.62896150854e-05,-1.15379308317e-05,0.00258248
271,-3.48777596632e-05,-1.54157773051e-05,0.00258752
272,-3.30414763698e-05,-1.91107596961e-05,0.00259256
273,-3.08777060109e-05,-2.25663046876e-05,0.00259756
274,-2.83877395495e-05,-2.57919808222e-05,0.00260256
275,-2.55307925331e-05,-2.87000348037e-05,0.00260756
276,-2.23563304504e-05,-3.1291052252e-05,0.00261256
277,-1.89569189361e-05,-3.35889579748e-05,0.00261752
278,-1.53190437205e-05,-3.5485770729e-05,0.00262248
279,-1.1497376758e-05,-3.69372199884e-05,0.00262744
280,-7.53649124406e-06,-3.8027502903e-05,0.0026324
281,-3.49343475444e-06,-3.87007122833e-05,0.00263734
282,5.93460462146e-07,-3.89126961303e-05,0.00264228
283,4.69578394764e-06,-3.86702434924e-05,0.00264722
284,8.74020216757e-06,-3.8041536097e-05,0.00265216
285,1.27050639558e-05,-3.70418253873e-05,0.00265706
286,1.65645244849e-05,-3.55705451301e-05,0.00266196
287,2.01893930008e-05,-3.36508225096e-05,0.00266686
288,2.36494860499e-05,-3.14094702169e-05,0.00267176
289,2.68643496065e-05,-2.8869762185e-05,0.00267662
290,2.97665424031e-05,-2.60173833931e-05,0.00268148
291,3.22974912332e-05,-2.27996471929e-05,0.00268634
292,3.45407104006e-05,-1.93447739584e-05,0.0026912
293,3.64492440765e-05,-1.57185587287e-05,0.00269604
294,3.80179788933e-05,-1.19109134796e-05,0.00270088
295,3.90391045036e-05,-7.96535867911e-06,0.00270572
296,3.97183360802e-05,-3.87157841733e-06,0.00271056
297,4.00253199962e-05,2.33191439981e-07,0.00271536
298,3.98762512207e-05,4.33796129729e-06,0.00272016
299,3.92742419012e-05,8.36635006229e-06,0.00272496
300,3.82306807919e-05,1.23663605201e-05,0.00272976
301,3.68314696526e-05,1.62048107656e-05,0.00273452
302,3.50725571236e-05,1.99166193324e-05,0.00273928
303,3.29369216165e-05,2.34027126462e-05,0.00274404
304,3.04230407847e-05,2.66625501162e-05,0.0027488
305,2.76094404339e-05,2.96450517958e-05,0.00275354
306,2.452341223e-05,3.235930904e-05,0.00275828
307,2.11950459253e-05,3.47572633258e-05,0.00276302
308,1.7590071608e-05,3.67679651502e-05,0.00276776
309,1.38215801953e-05,3.83487705172e-05,0.00277246
310,9.91942463308e-06,3.96025291784e-05,0.00277716
311,5.89065469409e-06,4.04853986204e-05,0.00278186
312,1.80318292819e-06,4.09810022722e-05,0.00278656
313,-2.27593211751e-06,4.10322171868e-05,0.00279124
314,-6.35504716321e-06,4.06255178598e-05,0.00279592
315,-1.03911529624e-05,3.98205507761e-05,0.0028006
316,-1.43504127703e-05,3.86534526184e-05,0.00280528
317,-1.81405143741e-05,3.71307382337e-05,0.00280992
318,-2.17710093743e-05,3.52303001386e-05,0.00281456
319,-2.51771762036e-05,3.29332616327e-05,0.0028192
320,-2.83485147192e-05,3.03018707188e-05,0.00282384
321,-3.12488522789e-05,2.74042730716e-05,0.00282846
322,-3.38559876184e-05,2.42371023522e-05,0.00283308
323,-3.61681471043e-05,2.08327118654e-05,0.0028377
324,-3.80984289721e-05,1.72039663954e-05,0.00284232
325,-3.96427431626e-05,1.34040693579e-05,0.00284692
326,-4.08133833448e-05,9.45998731415e-06,0.00285152
327,-4.16114624551e-05,5.41875208679e-06,0.00285612
328,-4.20499909321e-05,1.29698985501e-06,0.00286072
329,-4.20783924467e-05,-2.80713688131e-06,0.00286528
330,-4.16648181467e-05,-6.86150362617e-06,0.00286984
331,-4.08156803775e-05,-1.08984529215e-05,0.0028744
332,-3.95856573318e-05,-1.4857891653e-05,0.00287896
333,-3.80283622679e-05,-1.8643164666e-05,0.0028835
334,-3.61387417602e-05,-2.22936581462e-05,0.00288804
335,-3.39050149504e-05,-2.57406187954e-05,0.00289258
336,-3.12818371085e-05,-2.8929026714e-05,0.00289712
337,-2.83732151738e-05,-3.18326091586e-05,0.00290164
338,-2.51870866361e-05,-3.44643857767e-05,0.00290616
339,-2.18008098804e-05,-3.67951267876e-05,0.00291068
340,-1.81729111093e-05,-3.879396684e-05,0.0029152
341,-1.4430951998e-05,-4.0420370714e-05,0.00291968
342,-1.04915544032e-05,-4.17216922817e-05,0.00292416
343,-6.50103146425e-06,-4.25935387448e-05,0.00292864
344,-2.37762752333e-06,-4.30413765018e-05,0.00293312
345,1.72977359672e-06,-4.31057690611e-05,0.00293758
346,5.83717471675e-06,-4.28149459897e-05,0.00294204
347,9.90591864866e-06,-4.21244973428e-05,0.0029465
348,1.3897503306e-05,-4.10776876359e-05,0.00295096
349,1.77388075309e-05,-3.96593665216e-05,0.0029554
350,2.14717804609e-05,-3.78867506783e-05,0.00295984
351,2.49810459225e-05,-3.57158639498e-05,0.00296428
352,2.82673989072e-05,-3.32114644255e-05,0.00296872
353,3.1308760522e-05,-3.04362319051e-05,0.00297312
