Index,x_m,y_m
249,1.52E-05,3.32E-05
250,1.14E-05,3.48E-05
251,7.47E-06,3.59E-05
252,3.42E-06,3.66E-05
253,-6.46E-07,3.68E-05
254,-4.75E-06,3.67E-05
255,-8.81E-06,3.59E-05
256,-1.27E-05,3.48E-05
257,-1.66E-05,3.33E-05
258,-2.01E-05,3.13E-05
259,-2.35E-05,2.89E-05
260,-2.66E-05,2.63E-05
261,-2.93E-05,2.32E-05
262,-3.18E-05,1.99E-05
263,-3.38E-05,1.63E-05
264,-3.55E-05,1.26E-05
265,-3.67E-05,8.68E-06
266,-3.75E-05,4.67E-06
267,-3.79E-05,5.93E-07
268,-3.78E-05,-3.50E-06
269,-3.72E-05,-7.56E-06
270,-3.63E-05,-1.15E-05
271,-3.49E-05,-1.54E-05
272,-3.30E-05,-1.91E-05
273,-3.09E-05,-2.26E-05
274,-2.84E-05,-2.58E-05
275,-2.55E-05,-2.87E-05
276,-2.24E-05,-3.13E-05
277,-1.90E-05,-3.36E-05
278,-1.53E-05,-3.55E-05
279,-1.15E-05,-3.69E-05
280,-7.54E-06,-3.80E-05
281,-3.49E-06,-3.87E-05
282,5.93E-07,-3.89E-05
283,4.70E-06,-3.87E-05
284,8.74E-06,-3.80E-05
285,1.27E-05,-3.70E-05
286,1.66E-05,-3.56E-05
287,2.02E-05,-3.37E-05
288,2.36E-05,-3.14E-05
289,2.69E-05,-2.89E-05
290,2.98E-05,-2.60E-05
291,3.23E-05,-2.28E-05
292,3.45E-05,-1.93E-05
293,3.64E-05,-1.57E-05
294,3.80E-05,-1.19E-05
295,3.90E-05,-7.97E-06
296,3.97E-05,-3.87E-06
297,4.00E-05,2.33E-07
298,3.99E-05,4.34E-06
299,3.93E-05,8.37E-06
300,3.82E-05,1.24E-05
301,3.68E-05,1.62E-05
302,3.51E-05,1.99E-05
303,3.29E-05,2.34E-05
304,3.04E-05,2.67E-05
305,2.76E-05,2.96E-05
306,2.45E-05,3.24E-05
307,2.12E-05,3.48E-05
308,1.76E-05,3.68E-05
309,1.38E-05,3.83E-05
310,9.92E-06,3.96E-05
311,5.89E-06,4.05E-05
312,1.80E-06,4.10E-05
313,-2.28E-06,4.10E-05
314,-6.36E-06,4.06E-05
315,-1.04E-05,3.98E-05
316,-1.44E-05,3.87E-05
317,-1.81E-05,3.71E-05
318,-2.18E-05,3.52E-05
319,-2.52E-05,3.29E-05
320,-2.83E-05,3.03E-05
321,-3.12E-05,2.74E-05
322,-3.39E-05,2.42E-05
323,-3.62E-05,2.08E-05
324,-3.81E-05,1.72E-05
325,-3.96E-05,1.34E-05
326,-4.08E-05,9.46E-06
327,-4.16E-05,5.42E-06
328,-4.20E-05,1.30E-06
329,-4.21E-05,-2.81E-06
330,-4.17E-05,-6.86E-06
331,-4.08E-05,-1.09E-05
332,-3.96E-05,-1.49E-05
333,-3.80E-05,-1.86E-05
334,-3.61E-05,-2.23E-05
335,-3.39E-05,-2.57E-05
336,-3.13E-05,-2.89E-05
337,-2.84E-05,-3.18E-05
338,-2.52E-05,-3.45E-05
339,-2.18E-05,-3.68E-05
340,-1.82E-05,-3.88E-05
341,-1.44E-05,-4.04E-05
342,-1.05E-05,-4.17E-05
343,-6.50E-06,-4.26E-05
344,-2.38E-06,-4.30E-05
345,1.73E-06,-4.31E-05
346,5.84E-06,-4.28E-05
347,9.91E-06,-4.21E-05
348,1.39E-05,-4.11E-05
349,1.77E-05,-3.97E-05
350,2.15E-05,-3.79E-05
351,2.50E-05,-3.57E-05
352,2.83E-05,-3.32E-05
353,3.13E-05,-3.04E-05
354,3.41E-05,-2.74E-05
355,3.65E-05,-2.41E-05
356,3.87E-05,-2.06E-05
357,4.05E-05,-1.69E-05
358,4.20E-05,-1.31E-05
359,4.31E-05,-9.15E-06
360,4.38E-05,-5.09E-06
361,4.41E-05,-9.83E-07
362,4.41E-05,3.14E-06
363,4.37E-05,7.24E-06
364,4.29E-05,1.13E-05
365,4.17E-05,1.52E-05
366,4.02E-05,1.90E-05
367,3.84E-05,2.27E-05
368,3.62E-05,2.62E-05
369,3.36E-05,2.94E-05
370,3.08E-05,3.24E-05
371,2.77E-05,3.52E-05
372,2.44E-05,3.76E-05
373,2.09E-05,3.97E-05
374,1.72E-05,4.15E-05
375,1.34E-05,4.30E-05
376,9.37E-06,4.41E-05
377,5.35E-06,4.49E-05
378,1.23E-06,4.53E-05
379,-2.85E-06,4.52E-05
380,-6.98E-06,4.48E-05
381,-1.10E-05,4.40E-05
382,-1.50E-05,4.29E-05
383,-1.88E-05,4.15E-05
384,-2.25E-05,3.96E-05
385,-2.61E-05,3.75E-05
386,-2.94E-05,3.51E-05
387,-3.24E-05,3.23E-05
388,-3.53E-05,2.93E-05
389,-3.78E-05,2.61E-05
390,-4.01E-05,2.26E-05
391,-4.20E-05,1.89E-05
392,-4.35E-05,1.51E-05
393,-4.48E-05,1.12E-05
394,-4.56E-05,7.15E-06
395,-4.61E-05,3.08E-06
396,-4.63E-05,-1.04E-06
397,-4.61E-05,-5.15E-06
398,-4.55E-05,-9.22E-06
399,-4.46E-05,-1.32E-05
400,-4.33E-05,-1.72E-05
401,-4.16E-05,-2.10E-05
402,-3.97E-05,-2.46E-05
403,-3.74E-05,-2.80E-05
404,-3.48E-05,-3.13E-05
405,-3.20E-05,-3.43E-05
406,-2.89E-05,-3.70E-05
407,-2.56E-05,-3.94E-05
408,-2.20E-05,-4.16E-05
409,-1.83E-05,-4.34E-05
410,-1.44E-05,-4.49E-05
411,-1.05E-05,-4.60E-05
412,-6.44E-06,-4.68E-05
413,-2.33E-06,-4.72E-05
414,1.79E-06,-4.73E-05
415,5.92E-06,-4.70E-05
416,1.00E-05,-4.64E-05
417,1.40E-05,-4.54E-05
418,1.79E-05,-4.41E-05
419,2.17E-05,-4.24E-05
420,2.53E-05,-4.04E-05
421,2.87E-05,-3.82E-05
422,3.20E-05,-3.56E-05
423,3.49E-05,-3.27E-05
424,3.77E-05,-2.96E-05
425,4.01E-05,-2.63E-05
426,4.23E-05,-2.28E-05
427,4.41E-05,-1.91E-05
428,4.57E-05,-1.53E-05
429,4.69E-05,-1.14E-05
430,4.78E-05,-7.32E-06
431,4.83E-05,-3.23E-06
432,4.84E-05,8.98E-07
433,4.83E-05,5.02E-06
434,4.77E-05,9.13E-06
435,4.68E-05,1.31E-05
436,4.56E-05,1.71E-05
437,4.40E-05,2.09E-05
438,4.22E-05,2.46E-05
